TransactionID,TransactionAmount,TransactionHour,DayOfWeek,UserAge,UserLocation,DeviceType,PaymentMethod,AccountAge,TransactionFrequency,IsInternational,PreviousFraudHistory,IsFraud
TXN000056,116.44,16,2,54,UK,Mobile,Debit Card,658,5,0,0,0
TXN000057,167.24,10,3,60,UK,Mobile,Crypto,1699,4,0,0,0
TXN000058,26.9,20,6,70,UK,Desktop,Credit Card,2953,3,0,0,0
TXN000059,147.9,17,4,25,IN,Mobile,Credit Card,1222,5,0,0,0
TXN000060,45.06,7,2,69,VN,Desktop,Credit Card,3384,1,0,0,0
TXN000061,452.62,18,0,45,UK,Mobile,Debit Card,1912,3,1,0,0
TXN000062,213.14,18,3,66,VN,Desktop,PayPal,458,1,0,0,0
TXN000063,100.52,12,2,31,DE,Mobile,Debit Card,1134,1,0,0,0
TXN000064,88.88,15,0,42,UK,Mobile,Credit Card,316,4,1,0,0
TXN000065,61.1,7,2,52,DE,Mobile,PayPal,2656,4,0,0,0
TXN000066,83.28,17,6,43,CN,Mobile,Credit Card,1046,4,0,0,0
TXN000067,407.47,16,3,70,RU,Mobile,Debit Card,1622,2,0,0,0
TXN000068,38.4,9,6,41,VN,Desktop,Credit Card,2840,3,0,0,0
TXN000069,64.54,9,3,48,BR,Desktop,Crypto,1143,1,0,0,0
TXN000070,71.31,10,0,51,NG,Mobile,Credit Card,386,1,0,0,0
TXN000071,33.49,8,3,64,CN,Desktop,PayPal,2566,2,0,0,0
TXN000072,454.91,22,5,35,NG,Mobile,PayPal,9,18,1,1,1
TXN000073,202.5,17,5,65,FR,Tablet,Debit Card,1660,3,0,0,0
TXN000074,96.96,12,5,48,DE,Mobile,Debit Card,152,1,0,0,0
TXN000075,54.5,21,2,41,BR,Mobile,Credit Card,96,1,0,0,0
TXN000076,198.78,13,0,36,BR,Mobile,PayPal,1031,7,0,0,0
TXN000077,341.53,21,2,28,NG,Mobile,Debit Card,3613,3,0,0,0
TXN000078,134.54,16,3,64,IN,Mobile,Debit Card,1491,5,0,0,0
TXN000079,187.32,20,2,42,RU,Mobile,Debit Card,2924,2,0,0,0
TXN000080,71.75,7,2,22,UK,Mobile,Crypto,3091,3,0,0,0
TXN000081,261.18,15,0,39,VN,Mobile,Credit Card,1346,3,1,0,0
TXN000082,31.39,19,0,40,VN,Mobile,PayPal,2959,3,0,0,0
TXN000083,252.98,7,2,28,RU,Mobile,Debit Card,3359,5,0,0,0
TXN000084,788.94,7,3,64,VN,Mobile,Credit Card,1066,5,0,0,0
TXN000085,18.37,8,2,54,VN,Mobile,Credit Card,2254,4,0,0,0
TXN000086,800.3,21,3,43,US,Mobile,PayPal,2656,4,0,0,0
TXN000087,72.78,12,0,69,UK,Mobile,Credit Card,1221,5,0,0,0
TXN000088,113.09,13,0,54,US,Desktop,PayPal,1139,1,0,0,0
TXN000089,282.65,13,3,19,UK,Mobile,Credit Card,3496,6,1,0,0
TXN000090,78.78,15,1,40,US,Mobile,Credit Card,2646,4,0,0,0
TXN000091,62.51,13,4,74,NG,Desktop,Credit Card,162,2,0,0,0
TXN000092,155.47,18,5,70,NG,Mobile,Debit Card,771,1,0,0,0
TXN000093,393.1,14,0,35,VN,Tablet,Bank Transfer,3101,2,0,0,0
TXN000094,34.61,9,4,40,VN,Mobile,Debit Card,515,6,0,0,0
TXN000095,33.42,11,6,40,DE,Mobile,Debit Card,1709,4,0,1,0
TXN000096,85.4,7,4,22,DE,Desktop,Debit Card,1133,3,0,0,0
TXN000097,115.89,19,4,33,IN,Desktop,Credit Card,79,2,0,0,0
TXN000098,82.99,15,6,58,US,Mobile,Credit Card,348,1,1,0,0
TXN000099,24.66,9,3,68,NG,Desktop,PayPal,3037,3,0,0,0
TXN000100,311.21,7,6,64,BR,Mobile,Debit Card,1049,9,0,0,0
TXN000101,34.19,14,4,23,BR,Mobile,Debit Card,2151,1,0,0,0
TXN000102,114.49,20,4,66,DE,Desktop,Credit Card,2693,6,1,0,0
TXN000103,150.26,8,1,38,CN,Mobile,PayPal,182,3,1,1,0
TXN000104,44.46,20,1,54,US,Mobile,Credit Card,1857,1,0,0,0
TXN000105,439.51,9,5,70,RU,Mobile,Crypto,138,2,0,0,0
TXN000106,100.32,11,1,44,IN,Desktop,PayPal,1162,5,0,0,0
TXN000107,194.28,20,5,67,CN,Desktop,Debit Card,3641,1,0,0,0
TXN000108,70.86,11,5,42,VN,Mobile,Credit Card,1673,4,0,0,0
TXN000109,109.12,18,0,60,DE,Tablet,Credit Card,405,4,0,0,0
TXN000110,74.9,21,5,44,CN,Desktop,Credit Card,286,5,0,0,0
TXN000111,50.47,21,2,28,IN,Mobile,Credit Card,943,5,1,0,0
TXN000112,284.25,9,2,32,UK,Mobile,Credit Card,634,4,0,0,0
TXN000113,189.16,10,4,22,BR,Mobile,Debit Card,2213,4,0,0,0
TXN000114,44.9,12,4,34,BR,Desktop,Debit Card,3218,1,0,0,0
TXN000115,117.52,7,6,63,VN,Desktop,Debit Card,2376,1,0,0,0
TXN000116,36.34,7,4,40,VN,Tablet,Debit Card,3116,1,0,0,0
TXN000117,16.84,21,0,43,CN,Mobile,Debit Card,3566,6,0,0,0
TXN000118,185.08,17,5,35,DE,Mobile,Debit Card,1064,4,0,0,0
TXN000119,305.8,14,4,21,FR,Tablet,Debit Card,3395,2,0,0,0
TXN000120,141.96,21,4,41,FR,Mobile,Credit Card,1489,2,0,0,0
TXN000121,88.57,15,1,58,BR,Mobile,Bank Transfer,1167,5,0,0,0
TXN000122,585.8,11,4,40,UK,Mobile,PayPal,1084,8,0,0,0
TXN000123,364.2,20,6,74,US,Mobile,Bank Transfer,263,1,0,0,0
TXN000124,43.54,10,3,64,US,Mobile,Debit Card,2294,2,0,0,0
TXN000125,69.04,20,6,19,CN,Mobile,Credit Card,1356,6,0,0,0
TXN000126,82.93,20,6,69,IN,Desktop,PayPal,2021,1,0,0,0
TXN000127,54.82,20,3,19,VN,Tablet,PayPal,2145,6,1,0,0
TXN000128,139.44,10,3,43,DE,Mobile,PayPal,1105,9,0,0,0
TXN000129,23.9,18,1,70,RU,Desktop,PayPal,2019,8,0,0,0
TXN000130,61.5,17,2,41,US,Desktop,Bank Transfer,1509,6,0,0,0
TXN000131,475.53,17,2,25,IN,Mobile,Debit Card,415,7,0,0,0
TXN000132,73.2,13,3,56,NG,Mobile,Credit Card,3290,3,1,0,0
TXN000133,182.25,19,6,61,US,Mobile,Credit Card,1846,2,0,0,0
TXN000134,178.68,7,5,49,UK,Tablet,Debit Card,3349,4,0,0,0
TXN000135,38.94,10,5,32,BR,Mobile,Credit Card,2064,2,0,0,0
TXN000136,306.17,17,4,47,DE,Mobile,Credit Card,1325,4,1,0,0
TXN000137,32.22,9,6,26,RU,Mobile,Debit Card,2407,1,0,0,0
TXN000138,188.92,20,5,41,RU,Desktop,PayPal,1404,2,0,0,0
TXN000139,29.14,20,2,54,BR,Tablet,Debit Card,2651,4,0,0,0
TXN000140,470.9,9,1,41,IN,Desktop,Debit Card,2951,1,0,0,0
TXN000141,490.81,14,5,31,UK,Mobile,Debit Card,1119,3,1,0,0
TXN000142,546.35,9,1,32,US,Desktop,Credit Card,1704,4,0,0,0
TXN000143,143.06,9,3,44,DE,Mobile,Credit Card,394,10,0,0,0
TXN000144,308.27,15,4,18,IN,Desktop,Debit Card,2840,3,0,0,0
TXN000145,63.31,17,2,64,CN,Desktop,PayPal,3190,1,0,1,0
TXN000146,91.39,18,0,71,DE,Mobile,Credit Card,1690,2,0,0,0
TXN000147,111.07,9,0,43,RU,Mobile,Debit Card,1376,4,1,0,0
TXN000148,41.87,21,3,21,VN,Desktop,PayPal,641,1,0,0,0
TXN000149,78.71,18,5,71,RU,Mobile,PayPal,1808,3,0,0,0
TXN000150,24.43,18,6,63,VN,Tablet,PayPal,215,3,0,0,0
TXN000151,131.25,21,6,39,VN,Mobile,Crypto,2878,3,0,0,0
TXN000152,66.99,17,0,68,US,Mobile,Credit Card,671,5,0,0,0
TXN000153,77.38,20,4,27,IN,Mobile,PayPal,1838,3,0,0,0
TXN000154,175.14,8,3,35,UK,Desktop,PayPal,1907,1,0,1,0
TXN000155,216.84,2,5,38,IN,Tablet,PayPal,144,13,1,0,1
TXN000156,106.66,20,5,38,DE,Mobile,Credit Card,447,3,0,0,0
TXN000157,50.12,13,5,24,DE,Mobile,Debit Card,2304,3,0,0,0
TXN000158,230.48,13,6,18,UK,Mobile,Credit Card,1899,2,0,0,0
TXN000159,111.47,8,4,54,UK,Desktop,Debit Card,961,2,0,0,0
TXN000160,144.51,12,5,60,RU,Desktop,Credit Card,1479,1,1,0,0
TXN000161,97.34,14,2,56,RU,Desktop,Bank Transfer,677,1,0,0,0
TXN000162,46.66,18,2,39,CN,Mobile,Credit Card,1105,1,0,0,0
TXN000163,70.55,13,0,49,BR,Tablet,Debit Card,3434,4,0,0,0
TXN000164,92.62,15,4,44,IN,Desktop,PayPal,3167,3,0,0,0
TXN000165,236.8,10,3,66,UK,Mobile,Bank Transfer,1153,3,0,0,0
TXN000166,165.16,7,6,60,FR,Desktop,Debit Card,1037,7,0,0,0
TXN000167,31.18,20,5,27,US,Desktop,PayPal,2214,1,0,0,0
TXN000168,25.04,17,5,73,CN,Mobile,Debit Card,135,6,0,0,0
TXN000169,110.2,11,2,70,FR,Mobile,PayPal,3261,6,0,0,0
TXN000170,156.51,17,0,68,DE,Tablet,Bank Transfer,2270,1,0,0,0
TXN000171,101.1,10,3,60,US,Desktop,Debit Card,1375,1,0,0,0
TXN000172,418.74,13,5,72,CN,Mobile,Credit Card,2677,4,0,0,0
TXN000173,45.98,18,1,32,DE,Mobile,Debit Card,85,1,0,0,0
TXN000174,116.65,7,6,40,VN,Mobile,Debit Card,628,4,0,0,0
TXN000175,456.84,13,6,74,IN,Desktop,Credit Card,1055,3,0,1,0
TXN000176,199.91,9,3,65,US,Desktop,PayPal,2072,3,0,0,0
TXN000177,107.73,10,4,59,VN,Mobile,Credit Card,3404,3,0,0,0
TXN000178,166.42,16,5,52,BR,Mobile,Credit Card,3329,5,0,0,0
TXN000179,30.64,14,2,55,IN,Mobile,Credit Card,2485,3,0,0,0
TXN000180,45.17,13,1,20,BR,Desktop,Crypto,233,2,0,0,0
TXN000181,288.88,18,3,58,US,Desktop,Debit Card,2837,5,0,0,0
TXN000182,199.97,7,0,54,FR,Desktop,Credit Card,449,8,0,0,0
TXN000183,142.56,19,5,55,RU,Desktop,Debit Card,3392,5,0,0,0
TXN000184,217.63,15,1,30,FR,Desktop,Debit Card,1083,3,0,0,0
TXN000185,21.14,7,5,65,US,Mobile,PayPal,3033,2,0,0,0
TXN000186,29.98,23,1,44,UK,Mobile,Crypto,12,13,0,1,1
TXN000187,123.32,12,4,33,VN,Mobile,Debit Card,466,2,0,0,0
TXN000188,149.32,14,6,67,DE,Mobile,Bank Transfer,3248,2,0,0,0
TXN000189,220.59,13,4,49,US,Mobile,Crypto,3586,2,1,0,0
TXN000190,124.8,16,0,62,UK,Tablet,Crypto,3151,4,0,0,0
TXN000191,124.98,7,6,52,BR,Desktop,Credit Card,2203,1,1,0,0
TXN000192,112.45,19,1,48,VN,Desktop,Credit Card,2571,2,0,0,0
TXN000193,499.19,11,5,63,UK,Mobile,Debit Card,1937,1,0,0,0
TXN000194,227.34,16,6,18,RU,Mobile,Credit Card,2708,1,0,0,0
TXN000195,214.57,17,6,23,RU,Mobile,Credit Card,3629,4,0,0,0
TXN000196,125.15,12,0,36,CN,Tablet,Bank Transfer,1775,2,0,0,0
TXN000197,16.58,15,3,73,BR,Desktop,Credit Card,1717,7,0,0,0
TXN000198,351.2,10,5,51,RU,Desktop,Credit Card,674,3,0,0,0
TXN000199,32.86,15,3,68,VN,Mobile,Debit Card,2264,4,0,0,0
TXN000200,273.84,18,4,21,US,Mobile,Credit Card,745,4,0,0,0
TXN000201,55.02,20,6,19,NG,Mobile,Debit Card,1380,4,0,0,0
TXN000202,576.46,17,0,62,US,Desktop,Debit Card,803,1,1,0,0
TXN000203,739.12,0,3,18,VN,Desktop,Crypto,81,13,0,1,1
TXN000204,131.75,16,6,22,IN,Desktop,Debit Card,1884,6,0,0,0
TXN000205,129.93,9,6,23,BR,Mobile,Credit Card,2131,1,0,0,0
TXN000206,120.07,10,4,52,FR,Desktop,Credit Card,917,3,0,0,0
TXN000207,56.2,17,0,58,DE,Desktop,Debit Card,1858,2,0,0,0
TXN000208,46.28,17,1,63,DE,Mobile,Debit Card,659,2,0,1,0
TXN000209,82.99,18,4,66,UK,Mobile,Debit Card,226,3,0,0,0
TXN000210,49.38,20,4,56,FR,Desktop,Debit Card,3107,2,0,0,0
TXN000211,769.37,0,6,35,RU,Mobile,Crypto,178,9,1,1,1
TXN000212,524.84,15,0,29,VN,Mobile,PayPal,3171,4,1,0,0
TXN000213,99.12,18,3,37,UK,Desktop,Credit Card,2171,2,0,0,0
TXN000214,137.19,19,5,48,RU,Desktop,Credit Card,1219,3,0,0,0
TXN000215,101.83,12,4,53,CN,Desktop,Bank Transfer,883,1,0,0,0
TXN000216,134.78,13,1,41,BR,Mobile,Debit Card,685,3,0,0,0
TXN000217,469.42,12,5,52,US,Desktop,Debit Card,2123,5,0,0,0
TXN000218,248.61,16,4,45,RU,Tablet,PayPal,2775,2,0,0,0
TXN000219,44.7,18,3,74,UK,Mobile,Credit Card,3599,1,0,0,0
TXN000220,200.95,15,1,24,IN,Mobile,Credit Card,2985,3,0,0,0
TXN000221,118.65,8,3,63,UK,Desktop,PayPal,3474,2,0,0,0
TXN000222,2947.88,5,3,43,RU,Tablet,Crypto,5,12,1,0,1
TXN000223,393.26,12,0,48,RU,Tablet,Credit Card,1214,1,0,0,0
TXN000224,78.3,20,1,24,VN,Mobile,Debit Card,392,4,0,0,0
TXN000225,35.29,7,2,30,FR,Desktop,PayPal,1874,1,1,0,0
TXN000226,92.55,9,5,45,CN,Mobile,Credit Card,2816,4,0,0,0
TXN000227,441.6,18,6,62,FR,Mobile,Debit Card,3639,1,0,0,0
TXN000228,1573.04,13,4,34,UK,Desktop,Crypto,1550,5,0,0,0
TXN000229,261.52,20,3,73,RU,Mobile,Credit Card,2125,4,0,0,0
TXN000230,305.92,20,3,39,DE,Mobile,Debit Card,2922,5,0,0,0
TXN000231,116.96,17,1,44,VN,Mobile,Debit Card,2627,3,0,0,0
TXN000232,853.5,18,2,43,NG,Desktop,Credit Card,407,6,0,0,0
TXN000233,132.6,4,1,41,UK,Mobile,Crypto,70,20,1,0,1
TXN000234,106.43,8,5,58,UK,Mobile,Debit Card,3468,1,0,0,0
TXN000235,17.54,10,3,56,UK,Mobile,PayPal,2540,4,0,0,0
TXN000236,289.69,9,3,41,IN,Mobile,PayPal,3347,2,0,0,0
TXN000237,156.41,13,3,62,RU,Mobile,Debit Card,1026,1,0,0,0
TXN000238,94.02,18,1,39,US,Mobile,Credit Card,1790,4,0,0,0
TXN000239,80.8,16,4,60,NG,Desktop,Debit Card,2849,5,0,1,0
TXN000240,87.59,15,6,57,VN,Mobile,Crypto,2693,3,0,0,0
TXN000241,35.81,20,6,53,NG,Desktop,Bank Transfer,174,2,0,0,0
TXN000242,455.57,13,6,51,VN,Mobile,Credit Card,882,6,0,0,0
TXN000243,115.03,14,2,50,CN,Mobile,PayPal,3300,3,0,0,0
TXN000244,66.37,9,3,25,NG,Mobile,Credit Card,909,4,0,0,0
TXN000245,588.7,21,5,65,NG,Mobile,Debit Card,2849,1,0,0,0
TXN000246,120.36,13,0,50,CN,Mobile,Debit Card,2667,3,0,0,0
TXN000247,338.78,16,2,55,FR,Desktop,Bank Transfer,1456,4,0,0,0
TXN000248,215.57,15,6,18,IN,Mobile,Credit Card,1597,5,0,0,0
TXN000249,134.89,15,4,71,DE,Desktop,Debit Card,2119,4,0,0,0
TXN000250,95.24,16,3,49,UK,Mobile,Credit Card,405,8,0,0,0
TXN000251,244.73,15,0,24,FR,Tablet,Debit Card,2055,1,0,0,0
TXN000252,60.73,9,3,33,VN,Desktop,PayPal,3289,2,0,0,0
TXN000253,887.05,22,0,37,BR,Mobile,Debit Card,80,10,1,1,1
TXN000254,212.44,9,0,57,FR,Mobile,PayPal,3399,3,0,0,0
TXN000255,167.98,21,5,31,RU,Desktop,PayPal,2535,3,0,0,0
TXN000256,150.86,12,6,23,US,Mobile,Debit Card,2801,3,1,0,0
TXN000257,257.73,19,5,36,UK,Mobile,Debit Card,1594,3,0,0,0
TXN000258,54.38,20,5,40,CN,Desktop,Debit Card,2008,6,0,0,0
TXN000259,72.17,8,1,57,NG,Mobile,Credit Card,744,4,0,0,0
TXN000260,873.76,9,5,62,US,Mobile,Debit Card,953,3,0,0,0
TXN000261,2053.61,22,4,23,RU,Desktop,Credit Card,61,13,0,1,1
TXN000262,218.13,7,1,53,DE,Desktop,PayPal,878,4,0,0,0
TXN000263,390.01,14,3,19,BR,Mobile,Credit Card,2836,1,0,0,0
TXN000264,36.34,16,3,30,US,Mobile,Credit Card,66,3,0,0,0
TXN000265,175.49,19,2,26,DE,Tablet,PayPal,3121,2,0,1,0
TXN000266,74.8,19,5,21,FR,Tablet,Credit Card,965,4,0,0,0
TXN000267,116.28,15,2,46,FR,Desktop,Crypto,52,3,1,0,0
TXN000268,133.01,15,2,54,IN,Tablet,Bank Transfer,3337,3,0,0,0
TXN000269,978.03,4,2,40,VN,Mobile,Crypto,130,9,1,0,1
TXN000270,81.89,18,1,35,IN,Mobile,Credit Card,1266,2,0,0,0
TXN000271,61.88,20,3,37,UK,Mobile,PayPal,3051,5,0,0,0
TXN000272,107.73,12,3,71,DE,Desktop,PayPal,2723,5,0,0,0
TXN000273,100.58,9,6,69,NG,Mobile,Bank Transfer,801,5,0,0,0
TXN000274,60.38,12,5,33,RU,Mobile,PayPal,2741,4,0,0,0
TXN000275,85.38,13,0,37,BR,Mobile,Debit Card,3137,3,1,0,0
TXN000276,129.86,13,3,36,FR,Mobile,Debit Card,956,2,0,0,0
TXN000277,93.36,18,0,71,RU,Mobile,Debit Card,937,1,0,0,0
TXN000278,73.77,9,3,62,FR,Mobile,Credit Card,1863,1,1,0,0
TXN000279,107.05,14,1,19,FR,Mobile,Debit Card,3356,5,0,0,0
TXN000280,104.86,12,5,18,BR,Desktop,Credit Card,1124,6,0,0,0
TXN000281,114.97,13,1,33,DE,Mobile,Debit Card,3497,3,0,0,0
TXN000282,70.85,14,2,52,CN,Desktop,Credit Card,2024,3,0,0,0
TXN000283,41.82,8,0,70,NG,Mobile,Debit Card,287,2,0,1,0
TXN000284,79.13,7,5,58,BR,Desktop,PayPal,599,3,0,0,0
TXN000285,127.41,8,3,63,VN,Mobile,Debit Card,428,3,0,0,0
TXN000286,606.6,14,3,20,UK,Desktop,Credit Card,985,4,0,0,0
TXN000287,61.2,10,2,70,VN,Desktop,Credit Card,3269,1,0,0,0
TXN000288,41.08,16,2,52,DE,Mobile,Credit Card,2991,5,0,0,0
TXN000289,349.33,3,3,31,BR,Mobile,Crypto,15,18,1,1,1
TXN000290,366.35,13,5,63,US,Mobile,PayPal,1332,4,0,0,0
TXN000291,160.63,9,2,24,CN,Mobile,PayPal,2389,4,0,0,0
TXN000292,297.73,13,3,34,CN,Mobile,Bank Transfer,323,1,0,0,0
TXN000293,58.35,14,0,25,UK,Desktop,PayPal,2230,3,0,0,0
TXN000294,91.53,14,3,23,DE,Desktop,Debit Card,2090,5,0,0,0
TXN000295,37.36,15,5,68,VN,Desktop,Credit Card,3067,4,0,0,0
TXN000296,119.6,8,1,19,CN,Mobile,PayPal,3132,2,0,0,0
TXN000297,50.33,14,4,34,UK,Desktop,Credit Card,268,2,0,0,0
TXN000298,50.6,9,1,69,US,Desktop,Bank Transfer,906,3,1,0,0
TXN000299,324.4,15,2,18,DE,Mobile,Debit Card,1832,3,1,0,0
TXN000300,74.43,11,4,42,RU,Mobile,Bank Transfer,950,2,0,0,0
TXN000301,68.86,13,4,33,RU,Mobile,Credit Card,877,3,0,0,0
TXN000302,32.33,11,4,52,UK,Mobile,Debit Card,2788,4,1,0,0
TXN000303,500.63,12,6,18,IN,Mobile,Credit Card,740,5,1,0,0
TXN000304,208.34,8,6,22,CN,Desktop,PayPal,623,6,0,0,0
TXN000305,28.61,16,2,74,NG,Mobile,Debit Card,1011,1,0,0,0
TXN000306,1109.76,11,6,23,UK,Mobile,Debit Card,606,2,0,0,0
TXN000307,334.96,13,2,37,UK,Mobile,Debit Card,1305,4,0,0,0
TXN000308,60.32,7,4,41,FR,Tablet,Debit Card,2457,5,0,0,0
TXN000309,58.18,18,2,68,CN,Desktop,Debit Card,2024,2,0,0,0
TXN000310,73.43,18,5,44,RU,Mobile,Credit Card,3155,5,0,0,0
TXN000311,492.95,9,1,73,US,Desktop,PayPal,3294,3,0,0,0
TXN000312,92.0,17,5,31,BR,Mobile,Credit Card,2850,1,0,0,0
TXN000313,67.03,21,6,55,FR,Mobile,Credit Card,1854,1,0,0,0
TXN000314,105.54,12,5,65,BR,Mobile,PayPal,3474,3,0,0,0
TXN000315,358.92,17,6,28,NG,Mobile,Crypto,3163,4,0,0,0
TXN000316,322.44,15,6,46,UK,Desktop,Credit Card,1576,6,0,0,0
TXN000317,61.55,9,5,55,NG,Mobile,Credit Card,2392,2,0,0,0
TXN000318,170.34,17,3,34,FR,Desktop,Debit Card,1582,3,1,0,0
TXN000319,149.75,17,4,21,VN,Desktop,Debit Card,1349,2,0,0,0
TXN000320,78.91,9,5,72,VN,Desktop,Debit Card,3224,3,0,0,0
TXN000321,33.19,12,5,62,FR,Mobile,Credit Card,88,5,1,0,0
TXN000322,419.51,11,0,57,NG,Desktop,PayPal,38,5,0,0,0
TXN000323,78.81,20,4,47,DE,Desktop,Bank Transfer,1809,1,0,0,0
TXN000324,185.57,21,2,58,US,Desktop,Debit Card,2194,3,0,0,0
TXN000325,81.71,12,4,36,IN,Mobile,Credit Card,548,1,0,0,0
TXN000326,140.82,17,5,65,CN,Desktop,Credit Card,1173,4,0,0,0
TXN000327,117.15,18,3,54,DE,Mobile,Credit Card,2982,2,0,0,0
TXN000328,73.84,15,3,24,NG,Mobile,Bank Transfer,1611,3,1,0,0
TXN000329,213.86,11,0,44,FR,Desktop,Credit Card,636,7,0,0,0
TXN000330,62.28,7,0,70,DE,Desktop,Debit Card,487,5,0,0,0
TXN000331,74.02,7,1,64,CN,Mobile,Bank Transfer,1558,2,1,0,0
TXN000332,58.72,10,6,68,BR,Desktop,Crypto,279,2,0,0,0
TXN000333,150.79,18,3,73,FR,Mobile,PayPal,2525,2,0,1,0
TXN000334,68.09,13,1,59,RU,Desktop,Bank Transfer,3178,1,0,0,0
TXN000335,71.16,7,4,68,NG,Mobile,Credit Card,1832,3,0,0,0
TXN000336,59.34,9,5,67,DE,Mobile,PayPal,2713,1,0,0,0
TXN000337,72.3,11,0,53,UK,Desktop,Debit Card,3246,5,0,0,0
TXN000338,163.14,14,3,61,BR,Mobile,Debit Card,2093,3,0,0,0
TXN000339,124.38,16,3,38,DE,Mobile,PayPal,2680,1,0,0,0
TXN000340,114.54,8,6,65,CN,Mobile,Debit Card,357,1,0,0,0
